0, 17
0, 28
0, 39
0, 48
0, 62
0, 72
0, 87
0, 103
0, 118
0, 133
0, 151
0, 165
0, 176
0, 188
0, 201
0, 210
0, 223
0, 230
0, 245
0, 256
0, 264
0, 281
0, 298
0, 307
0, 319
0, 333
0, 352
0, 360
0, 367
0, 376
0, 377
0, 385
0, 396
0, 409
0, 421
0, 431
0, 439
0, 451
0, 465
0, 476
0, 482
0, 492
0, 499
0, 503
0, 503
0, 509
0, 513
0, 523
1, 536
0, 550
0, 560
0, 566
1, 573
0, 585
1, 598
0, 606
1, 617
1, 625
0, 629
2, 634
2, 646
1, 661
0, 671
0, 679
0, 684
0, 695
0, 702
1, 699
0, 710
1, 717
3, 727
1, 732
1, 740
2, 745
2, 749
1, 751
0, 757
0, 768
3, 775
1, 785
0, 787
2, 791
2, 796
2, 800
2, 800
1, 810
2, 815
1, 822
0, 833
5, 839
2, 849
1, 856
0, 867
3, 876
1, 890
3, 894
1, 899
3, 906
2, 910
0, 915
3, 935
0, 948
5, 951
2, 960
0, 968
0, 972
3, 981
2, 989
3, 993
0, 999
2, 997
2, 1011
1, 1019
1, 1029
3, 1034
3, 1042
1, 1049
4, 1052
3, 1059
3, 1060
2, 1070
5, 1078
5, 1077
1, 1077
2, 1080
3, 1087
5, 1092
3, 1101
0, 1100
3, 1107
3, 1114
3, 1108
3, 1117
1, 1118
2, 1123
5, 1130
4, 1138
5, 1139
2, 1141
2, 1144
4, 1135
4, 1136
3, 1137
3, 1136
4, 1140
3, 1152
8, 1159
2, 1158
3, 1160
2, 1164
2, 1161
2, 1156
1, 1163
3, 1157
2, 1157
3, 1165
2, 1170
4, 1173
4, 1176
2, 1178
2, 1181
3, 1183
5, 1191
5, 1189
3, 1190
2, 1191
3, 1196
4, 1198
4, 1211
4, 1208
5, 1214
1, 1224
2, 1232
5, 1243
3, 1241
7, 1241
3, 1244
2, 1246
4, 1258
4, 1262
3, 1265
9, 1270
5, 1269
8, 1279
1, 1287
5, 1291
3, 1295
2, 1311
4, 1320
4, 1329
8, 1331
4, 1333
5, 1335
3, 1332
3, 1333
4, 1338
4, 1340
5, 1340
8, 1345
5, 1350
3, 1359
3, 1364
4, 1358
1, 1357
4, 1358
2, 1358
0, 1351
5, 1348
7, 1353
2, 1358
2, 1362
4, 1365
4, 1365
5, 1362
2, 1361
2, 1359
3, 1365
1, 1369
5, 1374
2, 1375
1, 1369
4, 1377
4, 1375
0, 1380
4, 1377
4, 1381
6, 1378
7, 1386
2, 1381
3, 1380
0, 1379
4, 1380
6, 1378
4, 1383
4, 1388
9, 1390
6, 1389
6, 1382
4, 1383
5, 1388
3, 1389
7, 1384
3, 1383
3, 1387
3, 1384
2, 1386
3, 1386
2, 1391
6, 1392
3, 1391
3, 1394
2, 1392
6, 1388
3, 1390
5, 1399
4, 1401
5, 1405
2, 1405
5, 1401
7, 1398
4, 1404
5, 1403
2, 1398
4, 1396
5, 1403
10, 1401
5, 1406
3, 1405
4, 1406
5, 1412
5, 1416
2, 1412
4, 1405
7, 1409
2, 1416
1, 1418
3, 1420
1, 1424
4, 1427
1, 1425
7, 1427
2, 1431
4, 1437
8, 1433
3, 1441
5, 1438
1, 1441
4, 1439
4, 1433
5, 1440
8, 1427
5, 1426
5, 1425
4, 1426
8, 1432
4, 1433
4, 1435
4, 1442
6, 1439
5, 1441
5, 1437
7, 1434
2, 1437
3, 1438
